@RELATION code_smells_extended

@ATTRIBUTE loc NUMERIC
@ATTRIBUTE wmc NUMERIC
@ATTRIBUTE cbo NUMERIC
@ATTRIBUTE lcom NUMERIC
@ATTRIBUTE rfc NUMERIC
@ATTRIBUTE noc NUMERIC
@ATTRIBUTE totalmethodsqty NUMERIC
@ATTRIBUTE totalfieldsqty NUMERIC
@ATTRIBUTE is_functional_decomposition {yes,no}
@ATTRIBUTE is_data_class {yes,no}
@ATTRIBUTE is_lazy_class {yes,no}
@ATTRIBUTE is_spaghetti {yes,no}
@ATTRIBUTE is_swiss_army_knife {yes,no}
@ATTRIBUTE is_blob {yes,no}
@ATTRIBUTE has_long_method {yes,no}
@ATTRIBUTE has_long_parameter_list {yes,no}

@DATA
34,1,4,0,0,0,1,4,no,no,no,no,no,no,no,no
154,32,27,0,69,0,6,9,no,no,no,no,no,no,no,no
115,23,23,95,22,0,19,12,no,no,no,no,no,no,no,yes
5,1,1,0,0,0,1,0,no,no,yes,no,no,no,no,no
7,1,1,0,0,0,1,3,no,no,no,no,no,no,no,no
25,2,6,0,10,0,2,1,no,no,yes,no,no,no,no,no
15,1,3,0,0,0,1,11,no,yes,no,no,no,no,no,no
49,14,1,0,2,0,8,2,no,no,no,no,no,no,no,no
9,1,0,0,0,0,1,0,no,no,yes,no,no,no,no,no
6,1,7,0,1,0,1,1,no,no,yes,no,no,no,no,no
5,1,1,0,0,0,1,0,no,no,yes,no,no,no,no,no
3,1,1,0,0,0,1,0,no,no,yes,no,no,no,no,no
7,1,1,0,0,0,1,3,no,no,no,no,no,no,no,no
24,4,18,0,8,0,4,3,no,no,no,no,no,no,no,no
14,2,2,1,3,0,2,0,no,no,yes,no,no,no,no,no
24,5,11,0,14,0,1,2,no,no,yes,no,no,no,no,no
6,1,1,0,0,0,1,2,no,no,yes,no,no,no,no,no
280,12,26,0,86,0,3,2,no,no,no,no,no,no,no,no
7,1,1,0,0,0,1,3,no,no,no,no,no,no,no,no
9,1,6,0,4,0,1,2,no,no,yes,no,no,no,no,no
6,1,4,0,5,0,1,0,no,no,yes,no,no,no,no,no
11,3,2,3,0,0,3,0,no,no,no,no,no,no,no,no
3,0,1,0,0,0,0,1,no,no,yes,no,no,no,no,no
7,1,1,0,0,0,1,3,no,no,no,no,no,no,no,no
2,0,0,0,0,0,0,0,no,no,yes,no,no,no,no,no
76,1,4,0,0,0,1,42,no,yes,no,no,no,no,no,no
14,11,7,43,0,0,11,1,no,no,no,no,no,no,no,no
207,42,15,0,51,0,8,16,no,no,no,no,no,no,no,no
6,4,2,6,0,0,4,0,no,no,no,no,no,no,no,no
7,1,1,0,0,0,1,3,no,no,no,no,no,no,no,no
21,5,9,0,3,0,2,3,no,no,no,no,no,no,no,no
9,7,5,21,0,0,7,0,no,no,no,no,no,no,no,no
182,20,7,0,46,0,5,26,no,no,no,no,no,no,no,no
67,6,5,1,16,0,3,1,no,no,no,no,no,no,no,no
